unq_id,n
705,le10
706,39
707,le10
708,le10
709,le10
710,237
711,30
712,12
713,le10
714,12
715,44
716,le10
717,le10
718,le10
719,157
720,20
721,le10
722,le10
723,le10
724,le10
725,33
726,le10
727,le10
728,le10
729,14
730,le10
731,le10
732,le10
733,le10
734,le10
735,le10
736,14
737,le10
738,le10
739,114
740,le10
741,19
742,le10
743,le10
744,le10
745,le10
746,31
747,le10
748,le10
749,62
750,le10
751,le10
752,le10
753,le10
754,72
755,le10
756,le10
757,le10
758,le10
759,le10
760,32
761,le10
762,20
763,le10
764,le10
765,le10
766,65
767,le10
768,le10
769,le10
770,le10
771,15
772,le10
773,le10
774,16
775,le10
776,le10
777,21
778,le10
779,le10
780,le10
781,le10
782,le10
783,53
784,le10
785,le10
786,le10
787,le10
788,le10
789,38
790,le10
791,17
792,le10
793,le10
794,le10
795,37
796,le10
797,le10
798,23
799,le10
800,le10
801,le10
802,17
803,le10
804,12
805,50
806,11
807,le10
808,le10
809,le10
810,le10
811,12
812,le10
813,le10
814,le10
815,49
816,le10
817,le10
818,21
819,le10
820,le10
821,60
822,le10
823,le10
824,le10
825,26
826,le10
827,le10
828,22
829,le10
830,le10
831,le10
832,le10
833,31
834,le10
835,43
836,le10
837,le10
838,le10
839,18
840,le10
841,le10
842,le10
843,le10
844,18
845,le10
846,20
847,le10
848,le10
849,49
850,le10
851,le10
852,le10
853,16
854,le10
855,32
856,le10
857,le10
858,le10
859,46
860,le10
861,le10
862,le10
863,49
864,le10
865,19
866,22
867,le10
868,le10
869,57
870,le10
871,le10
872,le10
873,le10
874,le10
875,20
876,le10
877,le10
878,le10
879,13
880,35
881,le10
882,le10
883,le10
884,le10
885,26
886,le10
887,17
888,le10
889,le10
890,62
891,le10
892,le10
893,le10
894,le10
895,le10
896,le10
897,52
898,le10
899,le10
900,14
901,le10
902,le10
903,le10
904,le10
905,40
906,le10
907,le10
908,le10
909,le10
910,le10
911,le10
912,le10
913,le10
914,14
915,le10
916,le10
917,28
918,le10
919,le10
920,le10
921,13
922,le10
923,le10
924,14
925,le10
926,29
927,le10
928,le10
929,le10
930,22
931,le10
932,le10
933,le10
934,le10
935,le10
936,le10
937,le10
938,le10
939,le10
940,le10
941,46
942,le10
943,le10
944,le10
945,28
946,le10
947,le10
948,15
949,le10
950,le10
951,le10
952,le10
953,le10
954,15
955,le10
956,23
957,le10
958,le10
959,le10
960,le10
961,le10
962,le10
963,13
964,le10
965,le10
966,le10
967,23
968,le10
969,le10
970,17
971,le10
972,11
973,le10
974,12
975,le10
976,le10
977,le10
978,le10
979,le10
980,le10
981,le10
982,le10
983,le10
984,le10
985,le10
986,le10
987,16
988,le10
989,14
990,le10
991,le10
992,le10
993,le10
994,le10
995,le10
996,le10
997,le10
998,15
999,le10
1000,le10
1001,le10
1002,le10
1003,le10
1004,22
1005,le10
1006,le10
1007,le10
1008,le10
1009,24
1010,le10
1011,le10
1012,le10
1013,le10
1014,le10
1015,le10
1016,le10
1017,le10
1018,le10
1019,le10
1020,le10
1021,13
1022,le10
1023,27
1024,le10
1025,le10
1026,le10
1027,12
1028,le10
1029,le10
1030,le10
1031,12
1032,le10
1033,le10
1034,19
1035,le10
1036,le10
1037,le10
1038,le10
1039,le10
1040,le10
1041,le10
1042,14
1043,le10
1044,le10
1045,le10
1046,le10
1047,13
1048,le10
1049,le10
1050,29
1051,le10
1052,le10
1053,le10
1054,le10
1055,le10
1056,le10
1057,le10
1058,le10
1059,le10
1060,le10
1061,le10
1062,le10
1063,le10
1064,le10
1065,le10
1066,le10
1067,14
1068,le10
1069,le10
1070,le10
1071,le10
1072,le10
1073,le10
1074,le10
1075,le10
1076,le10
1077,17
1078,le10
1079,le10
1080,le10
1081,le10
1082,le10
1083,le10
1084,le10
1085,le10
1086,le10
1087,le10
1088,le10
1089,le10
1090,le10
1091,le10
1092,22
1093,le10
1094,le10
1095,le10
1096,le10
1097,21
1098,le10
1099,le10
1100,21
1101,le10
1102,le10
1103,le10
1104,le10
1105,13
1106,le10
1107,le10
1108,le10
1109,le10
1110,le10
1111,le10
1112,le10
1113,le10
1114,le10
1115,le10
1116,le10
1117,le10
1118,27
1119,le10
1120,le10
1121,19
1122,le10
1123,le10
1124,le10
1125,le10
1126,le10
1127,le10
1128,13
1129,le10
1130,le10
1131,11
1132,le10
1133,le10
1134,le10
1135,20
1136,le10
1137,25
1138,le10
1139,le10
1140,le10
1141,le10
1142,le10
1143,le10
1144,11
1145,le10
1146,le10
1147,le10
1148,le10
1149,le10
1150,le10
1151,16
1152,le10
1153,le10
1154,le10
1155,le10
1156,le10
1157,le10
1158,11
1159,le10
1160,le10
1161,le10
1162,15
1163,le10
1164,le10
1165,le10
1166,le10
1167,le10
1168,26
1169,le10
1170,le10
1171,le10
1172,le10
1173,le10
1174,le10
1175,le10
1176,14
1177,le10
1178,le10
1179,le10
1180,le10
1181,le10
1182,12
1183,le10
1184,le10
1185,le10
1186,le10
1187,le10
1188,24
1189,le10
1190,le10
1191,le10
1192,le10
1193,le10
1194,le10
1195,le10
1196,11
1197,le10
1198,le10
