unq_id,n
718,le10
719,le10
720,le10
721,17
722,le10
723,le10
724,le10
725,le10
726,le10
727,le10
728,le10
729,le10
730,le10
731,le10
732,le10
733,18
734,17
735,le10
736,le10
737,le10
738,le10
739,le10
740,19
741,le10
742,le10
743,le10
744,le10
745,le10
746,le10
747,le10
748,le10
749,le10
750,le10
751,15
752,le10
753,le10
754,le10
755,le10
756,le10
757,le10
758,le10
759,le10
760,le10
761,le10
762,le10
763,le10
764,le10
765,le10
766,le10
767,le10
768,le10
769,le10
770,le10
771,14
772,le10
773,le10
774,12
775,le10
776,le10
777,le10
778,le10
779,le10
780,le10
781,le10
782,le10
783,le10
784,le10
785,le10
786,le10
787,le10
788,le10
789,le10
790,le10
791,le10
792,le10
793,le10
794,le10
795,le10
796,le10
797,le10
798,le10
799,le10
800,le10
801,le10
802,le10
803,le10
804,le10
805,le10
806,le10
807,le10
808,le10
809,le10
810,le10
811,le10
812,le10
813,le10
814,le10
815,le10
816,le10
817,le10
818,le10
819,le10
820,le10
821,le10
822,le10
823,le10
824,le10
825,le10
826,le10
827,le10
828,le10
829,le10
830,le10
831,le10
832,le10
833,le10
834,le10
835,16
836,le10
837,le10
838,le10
839,le10
840,le10
841,le10
842,le10
843,le10
844,le10
845,le10
846,le10
847,le10
848,le10
849,le10
850,le10
851,le10
852,le10
853,le10
854,le10
855,le10
856,le10
857,le10
858,le10
859,le10
860,le10
861,le10
862,le10
863,le10
864,le10
865,le10
866,le10
867,le10
868,le10
869,le10
870,le10
871,le10
872,le10
873,le10
874,le10
875,le10
876,le10
877,le10
878,le10
879,le10
880,le10
881,le10
882,le10
883,le10
884,le10
885,le10
886,le10
887,le10
888,le10
889,le10
890,le10
891,le10
892,le10
893,le10
894,le10
895,le10
896,le10
897,le10
898,le10
899,le10
900,le10
901,le10
902,le10
903,le10
904,le10
905,le10
906,le10
907,le10
908,le10
909,le10
910,le10
911,le10
912,le10
913,le10
914,le10
915,le10
916,le10
917,le10
918,le10
919,le10
920,le10
921,le10
922,le10
923,le10
924,le10
925,le10
926,le10
927,le10
928,le10
929,le10
930,le10
931,le10
932,le10
933,le10
934,le10
935,le10
936,le10
937,le10
938,le10
939,le10
940,le10
941,le10
942,le10
943,le10
944,le10
945,le10
946,le10
947,le10
948,le10
949,le10
950,le10
951,le10
952,le10
953,le10
954,le10
955,le10
956,le10
957,le10
958,le10
959,le10
960,le10
961,le10
962,le10
963,le10
964,le10
965,le10
966,le10
967,le10
968,le10
969,le10
970,le10
971,le10
972,le10
973,le10
974,le10
975,le10
976,le10
977,le10
978,le10
979,le10
980,le10
981,le10
982,le10
983,le10
984,le10
985,le10
986,le10
987,le10
988,le10
989,le10
990,le10
991,le10
992,le10
993,le10
994,le10
995,le10
996,le10
997,le10
998,le10
999,le10
1000,le10
1001,le10
1002,le10
1003,le10
1004,le10
1005,le10
1006,le10
1007,le10
1008,le10
1009,le10
1010,le10
