gndr,ethnic,insulin,noninsulin,metformin,hf,cardio,cerebr,periph,cursmok,unq_id
male,NA,1,1,1,0,0,0,0,1,142
male,white,1,1,1,1,0,0,0,0,143
male,black,0,0,0,0,1,0,0,0,144
male,black,0,0,0,0,0,1,0,0,145
male,black,0,0,0,0,0,0,1,0,146
female,white,1,1,1,1,0,0,0,0,147
female,black,1,1,1,0,0,0,0,1,148
female,asian,1,1,1,0,0,0,1,0,149
female,asian,1,1,1,0,1,0,0,0,150
female,asian,1,1,1,0,0,1,0,0,151
male,other,1,1,1,0,0,1,0,0,152
male,other,1,1,1,0,0,0,1,0,153
male,other,1,1,1,0,1,0,0,0,154
female,other,1,1,0,0,0,0,0,0,155
female,asian,1,1,1,0,0,0,0,0,156
male,asian,0,1,1,1,0,1,0,0,157
male,asian,0,1,1,1,1,0,0,0,158
male,asian,0,1,1,1,0,0,1,0,159
male,asian,1,0,0,0,0,0,1,0,160
male,asian,1,0,0,0,1,0,0,0,161
male,asian,1,0,0,0,0,1,0,0,162
male,other,1,1,1,0,0,0,0,0,163
male,white,0,0,0,0,1,0,0,1,164
male,white,0,0,0,0,0,0,1,1,165
male,white,0,0,0,0,0,1,0,1,166
male,black,0,1,0,0,0,0,0,0,167
male,black,1,1,1,0,0,0,0,1,168
male,other,0,0,0,0,0,0,0,0,169
female,white,1,0,0,0,1,0,0,0,170
female,white,1,0,0,0,0,0,1,0,171
female,white,1,0,0,0,0,1,0,0,172
male,black,0,1,1,0,0,0,0,1,173
NA,other,1,1,1,0,0,0,0,0,174
male,other,0,1,0,0,1,0,0,0,175
male,other,0,1,0,0,0,1,0,0,176
male,other,0,1,0,0,0,0,1,0,177
female,asian,0,1,0,1,0,0,0,0,178
male,white,1,0,0,1,0,0,0,1,179
female,asian,1,1,1,0,0,0,0,1,180
male,asian,0,1,1,1,0,0,1,1,181
male,asian,0,1,1,1,1,0,0,1,182
male,asian,0,1,1,1,0,1,0,1,183
male,white,1,0,0,0,0,0,0,1,184
female,asian,0,1,0,0,0,0,0,0,185
female,white,0,1,0,0,0,0,0,1,186
male,white,1,0,0,0,0,1,0,1,187
male,white,1,0,0,0,0,0,1,1,188
male,white,1,0,0,0,1,0,0,1,189
NA,white,1,1,1,0,0,1,0,1,190
NA,white,1,1,1,0,0,0,1,1,191
NA,white,1,1,1,0,1,0,0,1,192
female,NA,0,1,1,0,0,0,0,0,193
female,black,1,0,0,0,0,0,0,1,194
male,black,1,1,1,0,1,0,0,0,195
male,black,1,1,1,0,0,0,1,0,196
male,black,1,1,1,0,0,1,0,0,197
male,black,0,0,0,1,0,0,0,1,198
NA,asian,0,1,0,0,0,0,0,0,199
male,white,0,0,0,1,1,0,0,1,200
male,white,0,0,0,1,0,1,0,1,201
male,white,0,0,0,1,0,0,1,1,202
female,white,1,1,1,1,1,0,0,0,203
female,white,1,1,1,1,0,0,1,0,204
female,white,1,1,1,1,0,1,0,0,205
male,NA,0,1,1,0,0,0,0,0,206
female,white,0,0,0,0,0,0,1,0,207
female,white,0,0,0,0,1,0,0,0,208
female,white,0,0,0,0,0,1,0,0,209
male,asian,1,1,1,0,0,0,0,1,210
female,white,1,1,0,0,1,0,0,0,211
female,white,1,1,0,0,0,1,0,0,212
female,white,1,1,0,0,0,0,1,0,213
male,NA,1,1,1,0,0,0,1,0,214
male,NA,1,1,1,0,0,1,0,0,215
male,NA,1,1,1,0,1,0,0,0,216
male,other,0,1,0,0,0,0,0,1,217
male,asian,1,1,1,0,0,0,0,0,218
female,other,0,1,1,1,0,0,0,1,219
female,asian,1,1,0,0,0,0,0,0,220
male,white,0,1,0,0,0,0,1,0,221
male,white,0,1,0,0,1,0,0,0,222
male,white,0,1,0,0,0,1,0,0,223
